國文,英文,數學,社會,自然
12,13,9,8,7
15,7,7,7,9
13,15,7,13,9
10,8,14,13,9
8,6,10,9,6
6,6,10,15,11
15,13,8,12,6
13,9,7,10,13
9,15,13,8,13
10,13,8,6,10
15,7,10,11,8
8,9,7,15,10
8,12,13,10,9
8,10,11,13,6
7,9,8,15,12
7,9,11,11,7
8,15,8,7,11
12,13,6,15,13
10,14,12,13,8
12,14,12,7,6
8,11,7,12,7
10,11,7,10,6
9,10,6,12,15
8,8,14,9,8
8,14,8,9,14
7,10,15,10,14
12,14,8,6,9
7,10,8,8,9
11,12,7,7,15
14,14,12,10,12
14,11,9,10,14
6,7,15,15,14
7,13,6,9,6
8,9,8,6,8
6,8,7,11,11
11,11,15,7,12
13,12,15,10,10
10,14,14,6,13
7,12,12,11,7
14,8,6,10,13
10,11,15,6,12
9,10,14,14,13
10,7,10,12,13
8,8,10,6,10
12,7,12,12,8
14,6,7,14,14
9,8,11,9,11
8,10,8,11,11
12,15,10,11,15
15,8,10,12,13
15,6,15,8,10
8,9,8,6,6
14,15,10,13,15
11,9,11,12,9
6,10,12,7,9
10,13,9,8,15
11,10,15,15,11
13,8,12,6,14
8,8,6,12,6
13,11,8,15,10
14,15,7,9,14
15,14,14,7,8
7,12,15,15,12
11,7,9,13,13
9,10,14,14,12
12,15,14,14,12
6,12,7,12,9
9,13,7,8,10
7,14,8,9,7
6,15,7,7,11
7,11,14,8,12
7,8,8,15,15
12,12,14,9,9
7,13,13,11,9
8,13,11,13,10
10,8,6,9,13
11,13,7,7,11
9,7,15,13,10
12,6,8,11,9
11,11,8,12,10
12,15,15,12,14
12,14,14,15,11
8,11,15,10,14
9,8,14,11,14
14,9,10,12,6
14,9,9,7,6
12,10,14,13,7
10,7,12,14,7
8,11,13,7,10
7,12,12,7,13
6,12,15,9,7
11,11,12,12,12
9,15,6,12,6
13,9,15,10,8
14,14,8,15,8
15,12,11,8,15
13,6,15,15,13
15,14,7,10,6
13,14,14,13,8
11,11,13,15,9
